Common name,Scientific name,,Color,PowerCategory,Power text,Predator,Flocking,Bonus card,Victory points,Nest type,Egg capacity,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fruit,Fish,Rodent,Wild (food),/ (food cost),* (food cost),Total food cost,Anatomist,Cartographer,Historian,Photographer,Backyard Birder,Bird Bander,Bird Counter,Bird Feeder,Citizen Scientist,Diet Specialist,Enclosure Builder,Falconer,Fishery Manager,Food Web Expert,Forester,Large Bird Specialist,Nest Box Builder,Omnivore Expert,Passerine Specialist,Platform Builder,Prairie Manager,Rodentologist,Viticulturalist,Wetland Scientist,Wildlife Gardener
,,,,,,,,,,,,,,,,,,,,,,,,,22%,21%,11%,34%,42%,31%,15%,44%,21%,29%,31%,13%,18%,9%,24%,35%,31%,16%,35%,31%,19%,15%,22%,26%,31%
,,,,,,,,,,,,,,,,,,,,,,,,,23.4%,22.6%,11.1%,34.5%,43.3%,31.0%,14.9%,43.7%,22.2%,28.7%,32.6%,12.3%,16.9%,10.0%,24.5%,34.1%,31.4%,16.9%,34.9%,31.0%,18.4%,14.9%,21.5%,26.1%,31.4%
Acorn Woodpecker,Melanerpes formicivorus,originalcore,Brown,Caching Food,Gain 1 [seed] from the birdfeeder (if available). You may cache it on this card.,,,,5,Cavity,4,46,X,,,,3,,,,,,,3,,,,,,,,X,,X,,,,,X,,X,,,,,,,,
American Avocet ,Recurvirostra americana,originalcore,Pink,Egg-laying,"When another player takes the ""lay eggs"" action, this bird lays 1 [egg] on another bird with a [ground] nest.",,,,6,Ground,2,79,,,X,2,1,,,,,,,3,,X,,,,,,X,,X,X,,,,,X,,,,,,,,X,
American Bittern ,Botaurus lentiginosus,originalcore,Brown,Card-drawing,Player(s) with the fewest [wetland] birds: draw 1 [card].,,,,7,Platform,2,107,,,X,1,,,1,1,,,,3,,X,,,,,,,,X,,,X,,,X,,,,X,,X,,X,
American Coot,Fulica americana,originalcore,Brown,Flocking,"Tuck a [card] from your hand behind this bird. If you do, draw 1 [card].",,X,,3,Platform,5,61,,,X,,1,,,,1,,,2,,X,,,X,,X,X,X,,,,,,,,,X,,X,,,,X,
American Crow ,Corvus brachyrhynchos,originalcore,Brown,Food from Supply,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,,,,4,Platform,2,99,X,X,X,,,,,,1,,,1,,X,,,,X,,,,,,,,,,X,,X,,X,,,,,
American Goldfinch ,Spinus tristis,originalcore,White,Food from Supply,Gain 3 [seed] from the supply.,,,,3,Bowl,3,23,,X,,,2,,,,,,,2,,X,,X,X,,,X,,,,,,,,,,,X,,X,,,,X
American Kestrel ,Falco sparverius,originalcore,Brown,Hunting/Fishing,"Roll all dice not in birdfeeder. If any are [rodent], gain 1 [rodent] and cache it on this card.",X,,,5,Cavity,3,56,,X,,1,,,,1,,,,2,,X,,,,,,,,,,X,,,,,X,,,,X,X,,,
American Oystercatcher,Haematopus palliatus,originalcore,White,Card-drawing,"Draw [card] equal to the number of players +1. Starting with you and proceeding clockwise, each player selects 1 of those cards and places it in their hand. You keep the extra card.",,,,5,Ground,2,81,,,X,2,,,,,,,,2,,X,,,,,,,,,X,,,X,,X,,,,,,,,X,
